代號,名稱,產業鏈代碼,產業鏈名稱,位置,子分類,上游公司,下游公司
2377,微星,F000,電腦及週邊設備,下游/上游,工業電腦;主機板;其他電腦及週邊設備;桌上型電腦;筆記型電腦,2388|威盛;3709|鑫聯大投控;8096|擎亞;AMD|超微半導體;INTC|英特爾;6189|豐藝;6233|旺玖;NVDA|輝達;2459|敦吉;3038|全台;5315|光聯;6167|久正;000725.SZ|京東方;034220.KS|LG顯示;005930.KS|三星電子;005930.KS|三星顯示;2376|技嘉;3024|憶聲;3516|亞帝歐;5386|青雲,2308|台達電;2317|鴻海;2324|仁寶;2331|精英;2353|宏碁;2356|英業達;2357|華碩;2362|藍天;2364|倫飛;2371|大同;2376|技嘉;2382|廣達;2430|燦坤;2483|百容;3005|神基;3231|緯創;4938|和碩;3213|茂訊;3709|鑫聯大投控;6140|訊達電腦
2379,瑞昱,D000,半導體,上游,IC設計,,2338|光罩;2438|翔耀;|大日本印刷;|豐創;|凸版印刷;2303|聯電;2330|台積電;2337|旺宏;2340|台亞;2344|華邦電;2371|大同;2408|南亞科;2434|統懋;2455|全新;3016|嘉晶;3532|台勝科;4919|新唐;5222|全訊;6770|力積電;8028|昇陽半導體
2382,廣達,5800,運動科技,中游,穿戴式裝置,2459|敦吉;7558|群利科技;000725.SZ|京東方;034220.KS|LG顯示;005930.KS|三星電子;005930.KS|三星顯示;1593|祺驊;4558|寶緯;5348|正能量智能;2340|台亞;3227|原相;5493|三聯;6204|艾華;6679|鈺太;7725|列特博;7825|和亞智慧;6758.T|索尼;STM|意法半導體;2395|研華;7781|昕力資*,|迪卡儂;|FootLocker;|Intersport;6798|展逸;7725|列特博;|anytime fitness;|Basic-fit;|planet fitness;2324|仁寶;7558|群利科技;7781|昕力資*;|Classpass;|北京卡路里科技;|peloton;5348|正能量智能;7779|鍇睿國際;|Creative Artists Agency;|Excelsports Management;|Wasserman;7670|淞康
2382,廣達,F000,電腦及週邊設備,下游/上游,其他電腦及週邊設備之零組件;筆記型電腦,2388|威盛;3709|鑫聯大投控;8096|擎亞;AMD|超微半導體;INTC|英特爾;6189|豐藝;6233|旺玖;NVDA|輝達;2459|敦吉;3038|全台;5315|光聯;6167|久正;000725.SZ|京東方;034220.KS|LG顯示;005930.KS|三星電子;005930.KS|三星顯示;2376|技嘉;3024|憶聲;3516|亞帝歐;5386|青雲,2308|台達電;2317|鴻海;2324|仁寶;2331|精英;2353|宏碁;2356|英業達;2357|華碩;2362|藍天;2364|倫飛;2371|大同;2376|技嘉;2377|微星;2430|燦坤;2483|百容;3005|神基;3231|緯創;4938|和碩;3213|茂訊;3709|鑫聯大投控;6140|訊達電腦
2395,研華,5800,運動科技,上游,軟體開發,,1598|岱宇;1736|喬山;7558|群利科技;|lifefitness;|peloton;|technogym;2106|建大;4401|東隆興;5348|正能量智能;8071|能率網通;8924|大田;7811|民盛;7670|淞康;7697|微笑元素創意;ADDYY|Adidas;NKE|Nike;PUMSY|Puma;2324|仁寶;2357|華碩;2382|廣達
2395,研華,F000,電腦及週邊設備,下游,工業電腦,2388|威盛;3709|鑫聯大投控;8096|擎亞;AMD|超微半導體;INTC|英特爾;6189|豐藝;6233|旺玖;NVDA|輝達;2459|敦吉;3038|全台;5315|光聯;6167|久正;000725.SZ|京東方;034220.KS|LG顯示;005930.KS|三星電子;005930.KS|三星顯示;2376|技嘉;3024|憶聲;3516|亞帝歐;5386|青雲,
2405,輔信,F000,電腦及週邊設備,下游,工業電腦;桌上型電腦;其他電腦及週邊設備,2388|威盛;3709|鑫聯大投控;8096|擎亞;AMD|超微半導體;INTC|英特爾;6189|豐藝;6233|旺玖;NVDA|輝達;2459|敦吉;3038|全台;5315|光聯;6167|久正;000725.SZ|京東方;034220.KS|LG顯示;005930.KS|三星電子;005930.KS|三星顯示;2376|技嘉;3024|憶聲;3516|亞帝歐;5386|青雲,
2412,中華電,I000,通信網路,下游,電信服務業,2459|敦吉;3169|亞信;6470|宇智;8096|擎亞;7661|皓德盛科技;INTC|英特爾;005930.KS|三星電子;QCOM|高通;2344|華邦電;2408|南亞科;3260|威剛;4973|廣穎電通;8084|巨虹;8088|品安;7866|丹立;7655|依得科;MU|美光;000660.KS|SK海力士;2466|冠西電;2476|鉅祥,
2451,創見,F000,電腦及週邊設備,上游,記憶體;隨身碟、記憶卡讀卡機,,2308|台達電;2317|鴻海;2324|仁寶;2331|精英;2353|宏碁;2356|英業達;2357|華碩;2362|藍天;2364|倫飛;2371|大同;2376|技嘉;2377|微星;2382|廣達;2430|燦坤;2483|百容;3005|神基;3231|緯創;4938|和碩;3213|茂訊;3709|鑫聯大投控
2451,創見,D000,半導體,下游,IC模組,2401|凌陽;3035|智原;3443|創意;5222|全訊;6533|晶心科;6695|芯鼎;3661|世芯-KY;3339|泰谷;3529|力旺;6423|億而得;6643|M31;8054|安國;8227|巨有科技;8299|群聯;6786|芯測;6842|瑞宇;7707|益芯科;7796|擷發科;ARM|安謀;CDNS|益華,
2454,聯發科,D000,半導體,上游,IC設計,,2338|光罩;2438|翔耀;|大日本印刷;|豐創;|凸版印刷;2303|聯電;2330|台積電;2337|旺宏;2340|台亞;2344|華邦電;2371|大同;2408|南亞科;2434|統懋;2455|全新;3016|嘉晶;3532|台勝科;4919|新唐;5222|全訊;6770|力積電;8028|昇陽半導體
2458,義隆,F000,電腦及週邊設備,上游,其他電腦及週邊設備之零組件,,2308|台達電;2317|鴻海;2324|仁寶;2331|精英;2353|宏碁;2356|英業達;2357|華碩;2362|藍天;2364|倫飛;2371|大同;2376|技嘉;2377|微星;2382|廣達;2430|燦坤;2483|百容;3005|神基;3231|緯創;4938|和碩;3213|茂訊;3709|鑫聯大投控
2458,義隆,D000,半導體,上游,IC設計,,2338|光罩;2438|翔耀;|大日本印刷;|豐創;|凸版印刷;2303|聯電;2330|台積電;2337|旺宏;2340|台亞;2344|華邦電;2371|大同;2408|南亞科;2434|統懋;2455|全新;3016|嘉晶;3532|台勝科;4919|新唐;5222|全訊;6770|力積電;8028|昇陽半導體
2474,可成,F000,電腦及週邊設備,上游,機殼,,2308|台達電;2317|鴻海;2324|仁寶;2331|精英;2353|宏碁;2356|英業達;2357|華碩;2362|藍天;2364|倫飛;2371|大同;2376|技嘉;2377|微星;2382|廣達;2430|燦坤;2483|百容;3005|神基;3231|緯創;4938|和碩;3213|茂訊;3709|鑫聯大投控
2480,敦陽科,5300,人工智慧,上游,雲端平台;系統整合;運算設備;顧問諮詢;資料處理,,
2480,敦陽科,5200,金融科技,上游,數位身分;資料聚合;數據分析,,
2480,敦陽科,5500,資通訊安全,上游,行動安全;網路基礎設施;端點安全防護;資安防護能力分析與鑑識服務;雲端安全,,
2480,敦陽科,R000,軟體服務,上游,系統整合服務;應用/系統軟體設計開發,,
