位置,子分類,代號,名稱
上游,其他零組件,6967,汎瑋材料
上游,其他零組件,8109,博大
上游,其他零組件,8171,天宇
上游,其他零組件,4980,佐臻
上游,其他零組件,6980,鐳洋科技
上游,其他零組件,7890,明曜科技
上游,其他零組件,7655,依得科
下游,網路設備,2301,光寶科
下游,網路設備,2308,台達電
下游,網路設備,2317,鴻海
下游,網路設備,2324,仁寶
下游,網路設備,2332,友訊
下游,網路設備,2345,智邦
下游,網路設備,2352,佳世達
下游,網路設備,2357,華碩
下游,網路設備,2371,大同
下游,網路設備,2397,友通
下游,網路設備,2419,仲琦
下游,網路設備,2483,百容
下游,網路設備,2485,兆赫
下游,網路設備,3002,歐格
下游,網路設備,3025,星通
下游,網路設備,3027,盛達
下游,網路設備,3047,訊舟
下游,網路設備,3062,建漢
下游,網路設備,3380,明泰
下游,網路設備,3419,譁裕
下游,網路設備,3447,展達
下游,網路設備,3596,智易
下游,網路設備,3694,海華
下游,網路設備,3704,合勤控
下游,網路設備,4906,正文
下游,網路設備,4938,和碩
下游,網路設備,5388,中磊
下游,網路設備,6142,友勁
下游,網路設備,6152,百一
下游,網路設備,6172,互億
下游,網路設備,6216,居易
下游,網路設備,6277,宏正
下游,網路設備,6285,啟碁
下游,網路設備,6416,瑞祺電通
下游,網路設備,6674,鋐寶科技
下游,網路設備,3152,璟德
下游,網路設備,3558,神準
下游,網路設備,3564,其陽
下游,網路設備,3672,康聯訊
下游,網路設備,4905,台聯電
下游,網路設備,4909,新復興
下游,網路設備,5353,台林
下游,網路設備,5457,宣德
下游,網路設備,6140,訊達電腦
下游,網路設備,6143,振曜
下游,網路設備,6163,華電網
下游,網路設備,6218,豪勉
下游,網路設備,6241,鑫永洋
下游,網路設備,6245,立端
下游,網路設備,6263,普萊德
下游,網路設備,6470,宇智
下游,網路設備,6486,互動
下游,網路設備,6512,啟發電
下游,網路設備,6561,是方
下游,網路設備,7714,創泓科技
下游,網路設備,8034,榮群
下游,網路設備,8048,德勝
下游,網路設備,8059,凱碩
下游,網路設備,8089,康全電訊
下游,網路設備,8097,常珵
下游,網路設備,8099,大世科
下游,網路設備,8176,智捷
下游,網路設備,3664,安瑞-KY
下游,網路設備,3473,智通聯網
下游,網路設備,7689,大鵬科CLMX
下游,網路設備,7826,極風雲創
下游,網路設備,7868,聖育
下游,網路設備,,思科系統
下游,網路設備,,Extreme Networks
下游,網路設備,,瞻博網路
下游,光通訊設備,1608,華榮
下游,光通訊設備,1618,合機
下游,光通訊設備,2308,台達電
下游,光通訊設備,2321,東訊
下游,光通訊設備,2352,佳世達
下游,光通訊設備,2413,環科
下游,光通訊設備,2483,百容
下游,光通訊設備,2485,兆赫
下游,光通訊設備,3027,盛達
下游,光通訊設備,3669,圓展
下游,光通訊設備,3704,合勤控
下游,光通訊設備,6277,宏正
下游,光通訊設備,6442,光聖
下游,光通訊設備,8011,台通
下游,光通訊設備,8045,達運光電
下游,光通訊設備,4977,眾達-KY
下游,光通訊設備,3163,波若威
下游,光通訊設備,3234,光環
下游,光通訊設備,3363,上詮
下游,光通訊設備,4903,聯光通
下游,光通訊設備,4905,台聯電
下游,光通訊設備,6143,振曜
下游,光通訊設備,6163,華電網
下游,光通訊設備,6263,普萊德
下游,光通訊設備,6470,宇智
下游,光通訊設備,6486,互動
下游,光通訊設備,6512,啟發電
下游,光通訊設備,8034,榮群
下游,光通訊設備,8048,德勝
下游,光通訊設備,8089,康全電訊
下游,光通訊設備,3473,智通聯網
下游,光通訊設備,7699,瑞利光
下游,光通訊設備,,Ericsson
下游,光通訊設備,,華為
下游,光通訊設備,,Nokia Network
下游,光通訊設備,,中興
下游,無線通訊設備,2301,光寶科
下游,無線通訊設備,2308,台達電
下游,無線通訊設備,2312,金寶
下游,無線通訊設備,2314,台揚
