位置,子分類,代號,名稱
下游,自動販賣機,,富士電機
下游,自動販賣機,,松下電器
下游,自動販賣機,,三電
下游,冷凍空調設備,1503,士電
下游,冷凍空調設備,1504,東元
下游,冷凍空調設備,1506,正道
下游,冷凍空調設備,1513,中興電
下游,冷凍空調設備,1614,三洋電
下游,冷凍空調設備,2371,大同
下游,冷凍空調設備,2459,敦吉
下游,冷凍空調設備,4532,瑞智
下游,冷凍空調設備,4523,永彰
下游,冷凍空調設備,4527,方方土霖
下游,冷凍空調設備,4543,萬在
下游,冷凍空調設備,5536,聖暉*
下游,冷凍空調設備,6275,元山
下游,冷凍空調設備,,開利
下游,冷凍空調設備,,大金
下游,冷凍空調設備,,格力
下游,冷凍空調設備,,日立
下游,機電系統工程,1503,士電
下游,機電系統工程,1504,東元
下游,機電系統工程,1513,中興電
下游,機電系統工程,1514,亞力
下游,機電系統工程,1519,華城
下游,機電系統工程,1529,樂事綠能
下游,機電系統工程,1535,中宇
下游,機電系統工程,1537,廣隆
下游,機電系統工程,2352,佳世達
下游,機電系統工程,2371,大同
下游,機電系統工程,2397,友通
下游,機電系統工程,2464,盟立
下游,機電系統工程,3018,隆銘綠能
下游,機電系統工程,8374,羅昇
下游,機電系統工程,4506,崇友
下游,機電系統工程,4549,桓達
下游,機電系統工程,4550,長佳
下游,機電系統工程,5536,聖暉*
下游,機電系統工程,6122,擎邦
下游,機電系統工程,6125,廣運
下游,機電系統工程,6234,高僑
下游,機電系統工程,6275,元山
下游,機電系統工程,7642,昶瑞機電
下游,機電系統工程,8383,千附
下游,機電系統工程,1594,日高
下游,機電系統工程,4565,宏偉
下游,機電系統工程,4582,聚恆
下游,機電系統工程,7869,宏于電機
下游,機電系統工程,7890,明曜科技
下游,機電系統工程,7543,富宸
下游,機電系統工程,7675,卡德爾
下游,機電系統工程,,奇異
下游,機電系統工程,,三菱重工
下游,機電系統工程,,西門子
下游,金屬加工處理,1506,正道
下游,金屬加工處理,1513,中興電
下游,金屬加工處理,1617,榮星
下游,金屬加工處理,2233,宇隆
下游,金屬加工處理,4564,元翎
下游,金屬加工處理,4572,駐龍
下游,金屬加工處理,8222,寶一
下游,金屬加工處理,5288,豐祥-KY
下游,金屬加工處理,2067,嘉鋼
下游,金屬加工處理,4503,金雨
下游,金屬加工處理,4528,江興鍛
下游,金屬加工處理,4543,萬在
下游,金屬加工處理,4558,寶緯
下游,金屬加工處理,6829,千附精密
下游,金屬加工處理,8383,千附
下游,金屬加工處理,1594,日高
下游,金屬加工處理,4546,長亨
下游,金屬加工處理,7869,宏于電機
下游,金屬加工處理,7879,益材科技
下游,金屬加工處理,7428,戴維
下游,金屬加工處理,,巧新科技工業
