位置,子分類,代號,名稱
上游,系統整合服務,6163,華電網
上游,系統整合服務,6218,豪勉
上游,系統整合服務,6221,晉泰
上游,系統整合服務,6486,互動
上游,系統整合服務,6516,勤崴國際
上游,系統整合服務,6590,普鴻
上游,系統整合服務,6690,安碁資訊
上游,系統整合服務,6697,東捷資訊
上游,系統整合服務,6751,智聯服務
上游,系統整合服務,6791,虎門科技
上游,系統整合服務,6811,宏碁資訊
上游,系統整合服務,6870,騰雲
上游,系統整合服務,6874,倍力
上游,系統整合服務,6910,德鴻
上游,系統整合服務,6925,意藍
上游,系統整合服務,7547,碩網
上游,系統整合服務,7714,創泓科技
上游,系統整合服務,7767,仁大資訊
上游,系統整合服務,8099,大世科
上游,系統整合服務,8284,三竹
上游,系統整合服務,8416,實威
上游,系統整合服務,6536,碩豐
上游,系統整合服務,6816,捷智商訊
上游,系統整合服務,6868,采威國際
上游,系統整合服務,7551,知識科技
上游,系統整合服務,7724,諾亞克
上游,系統整合服務,7781,昕力資*
上游,系統整合服務,7785,北祥科服
上游,系統整合服務,7801,華芸科技
上游,系統整合服務,7813,宇辰系統
上游,系統整合服務,7819,精誠金融
上游,系統整合服務,7822,倍利科
上游,系統整合服務,7825,和亞智慧
上游,系統整合服務,7826,極風雲創
上游,系統整合服務,7836,智生活
上游,系統整合服務,7839,達人網
上游,系統整合服務,7841,經貿聯網
上游,系統整合服務,7868,聖育
上游,系統整合服務,7870,聯剛科技
上游,系統整合服務,7885,宏羚
上游,系統整合服務,7543,富宸
上游,系統整合服務,7568,邦柏智慧
上游,系統整合服務,7587,環球睿視
上游,系統整合服務,7593,優思睿智科技
上游,系統整合服務,7661,皓德盛科技
上游,資料處理服務,2371,大同
上游,資料處理服務,2427,三商電
上游,資料處理服務,2453,凌群
上游,資料處理服務,2468,華經
上游,資料處理服務,6112,邁達特
上游,資料處理服務,6183,關貿
上游,資料處理服務,6214,精誠
上游,資料處理服務,6614,資拓宏宇
上游,資料處理服務,6906,現觀科
上游,資料處理服務,7765,中華資安
上游,資料處理服務,4160,訊聯基因
上游,資料處理服務,5493,三聯
上游,資料處理服務,6593,台灣銘板
上游,資料處理服務,6811,宏碁資訊
上游,資料處理服務,6874,倍力
上游,資料處理服務,6910,德鴻
上游,資料處理服務,6925,意藍
上游,資料處理服務,7547,碩網
上游,資料處理服務,8099,大世科
上游,資料處理服務,6816,捷智商訊
上游,資料處理服務,6868,采威國際
上游,資料處理服務,6898,程曦資訊
上游,資料處理服務,7551,知識科技
上游,資料處理服務,7724,諾亞克
上游,資料處理服務,7781,昕力資*
上游,資料處理服務,7785,北祥科服
上游,資料處理服務,7801,華芸科技
上游,資料處理服務,7819,精誠金融
上游,資料處理服務,7825,和亞智慧
上游,資料處理服務,7826,極風雲創
上游,資料處理服務,7836,智生活
上游,資料處理服務,7839,達人網
上游,資料處理服務,7841,經貿聯網
上游,資料處理服務,7870,聯剛科技
上游,資料處理服務,7569,發條橘子
上游,資料處理服務,7587,環球睿視
上游,資料處理服務,7593,優思睿智科技
上游,資料處理服務,7624,數位經濟
上游,資料處理服務,7661,皓德盛科技
上游,資料處理服務,7676,薪傳智庫
上游,通路經銷,2371,大同
上游,通路經銷,2427,三商電
上游,通路經銷,2453,凌群
上游,通路經銷,2468,華經
上游,通路經銷,3029,零壹
上游,通路經銷,6112,邁達特
上游,通路經銷,6214,精誠
上游,通路經銷,6614,資拓宏宇
上游,通路經銷,7765,中華資安
上游,通路經銷,3147,大綜
上游,通路經銷,5202,力新
上游,通路經銷,5493,三聯
上游,通路經銷,6123,上奇
上游,通路經銷,6140,訊達電腦
上游,通路經銷,6154,順發
上游,通路經銷,6221,晉泰
上游,通路經銷,6811,宏碁資訊
上游,通路經銷,6874,倍力
上游,通路經銷,6910,德鴻
上游,通路經銷,6997,博弘
上游,通路經銷,7714,創泓科技
上游,通路經銷,7747,昕奇雲端
上游,通路經銷,7767,仁大資訊
上游,通路經銷,8099,大世科
上游,通路經銷,6707,富基電通
上游,通路經銷,7551,知識科技
上游,通路經銷,7785,北祥科服
上游,通路經銷,7819,精誠金融
上游,通路經銷,7841,經貿聯網
上游,通路經銷,7868,聖育
上游,通路經銷,7593,優思睿智科技
上游,通路經銷,7624,數位經濟
